product_name,brands,pnns_groups_1,pnns_groups_2,energy-kcal_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,nutriscore_grade,nova_group,environmental_score_grade,unique_scans_n
Knorr Dadi Vegetale 20 Cubi Ast 0,Knorr,unknown,unknown,5.0,0.2,0.5,0.3,1.0,0.2,0.2,unknown,4,unknown,2
S. benedetto Gassosa Pet ML. 1500,San benedetto,Beverages,Artificially sweetened beverages,19.0,4.4,0.0,0.0,0.025,0.0,0.0,d,4,unknown,6
Lemon soda zero,Fonti di Crodo,Beverages,Artificially sweetened beverages,6.0,0.0,0.0,0.0,0.0,1.0,0.0,c,4,not-applicable,5
Lemon soda mojito,Fonti di Crodo,Beverages,Sweetened beverages,52.0,12.0,0.0,0.0,0.01,0.0,0.0,e,4,not-applicable,12
polenta instantanea,Molino Riva,Cereals and potatoes,Cereals,385.0,0.6,1.3,0.16,0.09,3.0,9.0,b,1,a,1
Olio Extra Vergine D'oliva Robusto 1 L.,Bertolli,Fat and sauces,Fats,822.0,0.0,91.0,14.0,0.0,0.0,0.0,b,2,e,1
San Benedetto Fizzy Water,San Benedetto,Beverages,Waters and flavored waters,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,a,4,not-applicable,4
Tortelloni Ricotta E Spinaci,Picard,Composite foods,One-dish meals,227.0,1.5,15.0,6.8,1.4,1.2,5.2,d,4,unknown,1
Lasagnes aux Asperges,Picard,Composite foods,One-dish meals,163.0,2.1,9.0,4.7,0.65,1.3,4.6,c,3,c,7
"Trofie al pesto, Surgelé","Formule express, Picard",Composite foods,One-dish meals,237.0,0.4,12.0,2.1,0.77,1.1,5.6,c,4,unknown,1
Panforte Morbido,Sapori,Sugary snacks,Sweets,359.0,21.0,15.0,2.0,0.03,1.0,5.5,d,4,unknown,1
Cantuccini Toscani IGP almond,Sapori,Sugary snacks,Biscuits and cakes,463.0,32.0,18.0,4.3,0.75,4.7,10.0,e,4,b,5
Amaretti almond,Sapori,Sugary snacks,Biscuits and cakes,487.0,46.0,26.0,2.2,0.01,4.7,12.0,e,4,c,2
Cantuccini alla Mandorla,"Colussi, Sapori",Sugary snacks,Biscuits and cakes,460.0,31.0,17.8,4.6,0.25,4.7,10.3,d,4,b,2
Viennetta Vanille,Viennetta - Unilever,Milk and dairy products,Ice cream,117.0,9.6,6.6,5.8,0.04,0.5,1.0,c,4,b,37
wham Dessert Sauce,"Miko, Unilever, Viennetta",Milk and dairy products,Ice cream,119.0,9.7,7.3,6.5,0.06,0.5,1.3,c,4,b,2
Super Twister,"Max, Miko",Milk and dairy products,Ice cream,95.0,17.0,0.5,0.1,0.01,0.34,0.5,c,4,a,11
Calippo parfum cola,"Calippo, Langnese",Milk and dairy products,Ice cream,83.0,17.0,0.5,0.1,0.01,0.0,0.5,c,4,a,10
Magnum Glace Bâtonnet Chocolat Blanc 1x110ml,Magnum,Milk and dairy products,Ice cream,216.0,19.0,13.0,9.1,0.12,0.0,3.0,d,4,a-plus,8
Algida Cornetto Classico x,Unilever,Milk and dairy products,Ice cream,297.0,21.0,18.0,12.0,0.2,0.0,3.5,e,4,a,1
Viennetta chocolat,"Miko, Unilever, Viennetta",Milk and dairy products,Ice cream,260.0,20.0,17.0,15.0,0.1778,2.0,4.0,d,4,a,1
Trancio intero di tonno al naturale,"Icat Food, Moro",Fish Meat Eggs,Fish and seafood,122.0,0.0,2.0,0.7,1.0,0.0,26.0,a,3,d,1
Filetti di sgombro in olio di semi,"Icat Food, Ocean",Fish Meat Eggs,Fish and seafood,420.0,0.0,37.0,5.0,1.0,0.0,21.0,d,3,f,8
Il Panettone Originale,Motta,Sugary snacks,Pastries,358.0,26.0,11.0,7.0,0.42,2.9,6.6,e,4,c,2
Crema bicolore latte e nocciola,Consilia,Sugary snacks,Sweets,527.0,64.0,28.0,5.0,0.13,1.8,3.9,e,4,d,1
Biscotti fior di riso,Artebianca,Sugary snacks,Biscuits and cakes,463.0,27.0,16.0,8.0,0.15,1.9,7.7,e,3,c,11
Biscotti di farro,Artebianca,Sugary snacks,Biscuits and cakes,463.0,26.0,17.0,7.2,0.25,3.0,9.0,e,4,c,4
Biscotti fior di riso,artebianca,Sugary snacks,Biscuits and cakes,459.0,27.5,16.2,10.8,0.2,1.9,7.5,e,4,c,2
Taboulé,La Grainerie,Composite foods,One-dish meals,342.0,5.5,1.5,0.3,2.5,4.0,12.0,d,4,a,2
Thé yellow label,Lipton,Beverages,Unsweetened beverages,1.0,0.0,0.0,0.0,0.0,0.0,0.1,b,4,a-plus,1
"Lipton The'ice Tea Pesca Pet LT 1, 5",Lipton,Beverages,Artificially sweetened beverages,19.0,4.5,0.5,0.5,0.05,0.0,0.4,d,4,unknown,5
Aroma antico aceto di vino bianco,Ponti,Fat and sauces,Dressings and sauces,23.0,0.05,0.0,0.0,0.1,0.0,0.1,not-applicable,2,a,3
Vinaigre balsamique de Modène,Ponti,Fat and sauces,Dressings and sauces,96.0,19.0,0.0,0.0,0.05,0.0,0.0,not-applicable,2,a-plus,1
Ponti Pesto Rosso,Ponti,Fat and sauces,Dressings and sauces,453.0,9.3,40.0,5.2,1.9,3.5,5.4,e,4,c,2
Aceto di vino pet,Ponti,Fat and sauces,Dressings and sauces,20.0,0.0,0.0,0.0,0.0,0.0,0.0,not-applicable,2,b,1
Tomates séchées sans huile,Ponti,Fruits and vegetables,Vegetables,61.0,4.7,0.0,0.0,1.9,4.4,1.9,c,4,f,15
Funghi Ponti Zero Olio GR.,Ponti,unknown,unknown,26.0,0.5,0.5,0.0,1.6,3.2,2.7,unknown,4,unknown,3
Vinaigre balsamique,Ponti,Fat and sauces,Dressings and sauces,112.0,23.0,0.0,0.0,0.05,0.0,0.0,not-applicable,2,a-plus,22
Carciofi,Ponti,Fruits and vegetables,Vegetables,97.0,1.3,8.4,0.9,2.2,5.1,1.1,c,3,a,1
Aceto di mele bio non fitrato,Ponti,Fat and sauces,Dressings and sauces,17.0,0.0,0.0,0.0,0.0,0.0,0.0,not-applicable,2,a-plus,13
Glassa all’Aceto Balsamico di Modena I.G.P.,"Italia, Ponti",unknown,unknown,2.0,50.0,0.0,0.0,0.17,1.4,1.1,d,4,unknown,52
Tomates secos em óleo de sementes de girassol,Ponti,Fruits and vegetables,Vegetables,125.0,5.7,8.2,0.96,1.9,6.0,2.2,c,3,f,12
Arrabbiata,Ponti,Fat and sauces,Dressings and sauces,74.0,3.2,5.7,0.8,0.7,2.2,1.3,a,3,b,2
Forellini,"Kraft Heinz, Plasmon",Cereals and potatoes,Cereals,345.0,7.5,1.3,0.2,0.03,4.2,10.5,not-applicable,1,unknown,3
Puntine,"Kraft Heinz, Plasmon",Cereals and potatoes,Cereals,349.0,3.0,1.3,0.3,0.03,2.4,10.3,not-applicable,1,unknown,1
Pâtes Plasmon Chioccioline,"Kraft Heinz, Plasmon",unknown,unknown,349.0,3.0,1.3,0.3,0.03,2.4,10.3,not-applicable,4,unknown,4
Plasmon Biscotto GR. 360,"Kraft Heinz, Plasmon",unknown,unknown,412.0,23.0,8.0,1.5,0.6,2.7,8.7,not-applicable,4,unknown,2
Fette integrali,"Kraft Heinz, Weight watchers",Cereals and potatoes,Bread,390.0,3.0,4.3,1.0,1.75,7.5,10.0,c,3,unknown,1
La pastina maccheroncini,Plasmon,unknown,unknown,349.0,3.0,1.3,0.3,0.03,2.4,10.3,not-applicable,1,unknown,1
"Galleta Biscotino S / G 200G, Biaglut","Biaglut, Biaglut HEINZ",unknown,unknown,442.0,25.2,14.1,6.2,0.4,6.6,8.0,unknown,4,unknown,1
Mayonnaise Kraft,"Heinz, Kraft",Fat and sauces,Dressings and sauces,651.0,1.0,71.0,8.2,0.9,0.8,0.8,e,4,d,9
Primi mesi biscottino granulato senza glutine,Plasmon,Sugary snacks,Biscuits and cakes,419.0,21.0,8.0,1.0,0.1,0.5,4.5,not-applicable,4,c,2
Il biscotto dei bambini,Plasmon,Sugary snacks,Biscuits and cakes,412.0,23.0,8.0,1.5,0.6,2.7,8.7,d,4,c,6
Panettone cake with chocolate,Giovanni Cova & C.,Sugary snacks,Pastries,410.0,21.0,20.0,12.0,0.575,2.0,8.0,e,4,c,1
Croissant con farcitura di crema al cioccolato,Giovanni Cova & C.,unknown,unknown,423.0,27.0,20.0,13.0,0.64,1.5,6.1,unknown,4,unknown,1
Caviar de tomates à l'ail,Saclà,Fat and sauces,Dressings and sauces,189.0,6.0,15.9,1.9,2.0,3.4,2.2,c,4,a-plus,30
Tomates séchées au soleil,Saclà,Fat and sauces,Dressings and sauces,208.0,7.5,15.8,1.8,3.15,0.0,3.9,e,4,f,1
"Coeurs D'artichauts Antipasto, Bocal De 285 Grammes, Marque Sacla",Saclà,Fruits and vegetables,Vegetables,121.0,0.9,11.0,1.3,2.3,0.0,1.7,d,4,b,15
Sacla Acetelli Gherkins 290G,Sacla,Salty snacks,Salty and fatty products,21.0,1.4,0.4,0.0,2.0,0.0,1.2,c,4,unknown,11
Sacla' Chargrilled Aubergine Pesto,Saclà,Fat and sauces,Dressings and sauces,339.0,2.4,33.0,3.5,1.2,1.6,2.0,d,4,c,22
pesto roasted pepper & crushed almond,Saclà,Fat and sauces,Dressings and sauces,247.0,4.1,22.0,3.2,1.2,1.6,4.3,c,3,c,8
Organic Vegetarian Pesto Tomato,Saclà,Fat and sauces,Dressings and sauces,393.0,4.1,38.0,4.5,1.2,1.0,4.2,d,3,b,11
Sauce tomates roquette,Saclà,Fat and sauces,Dressings and sauces,182.0,5.4,15.0,2.5,1.0,0.0,3.6,c,4,a,4
Pesto alla genovese,Saclà,Fat and sauces,Dressings and sauces,391.0,3.9,39.9,4.8,2.5,0.0,2.9,e,4,b,1
Peperoncini ripieni al tonno,Saclà,unknown,unknown,131.0,1.6,9.5,1.1,2.3,2.6,8.5,d,4,d,1
Pomodori secchi,Saclà,Fruits and vegetables,Vegetables,216.0,8.3000001907349,16.10000038147,1.8999999761581,3.1500000953674,9.1,4.1999998092651,d,4,f,1
arrabiata sans gluten,Saclà,Fat and sauces,Dressings and sauces,282.0,6.0,26.0,2.8,1.5,0.0,4.2,d,4,a-plus,6
Tomates séchées bio sans gluten,Saclà,Fat and sauces,Dressings and sauces,208.0,7.5,16.0,1.8,2.54,0.0,3.9,d,3,e,2
BUCATINI - PATES BIO 500G,Saclà,Cereals and potatoes,Cereals,358.0,3.5,1.5,0.3,0.01,0.0,11.5,b,1,unknown,1
Pâtes alimentaires de semoule de blé dur,Saclà,Cereals and potatoes,Cereals,358.0,3.5,1.5,0.3,0.01,2.7,11.5,b,1,unknown,1
Sacla' Vegan Basil Pesto,Saclà,Fat and sauces,Dressings and sauces,342.0,1.2,32.0,4.1,1.2,2.4,2.8,d,4,d,76
"Limited Edition Broad bean, pea and mint",Saclà,Fat and sauces,Dressings and sauces,412.0,2.2,37.0,4.4,1.0,5.2,5.7,c,4,c,1
Vegan Tomato Pesto,Saclà,Fat and sauces,Dressings and sauces,368.0,3.4,36.0,4.5,1.2,2.8,2.8,d,4,c,22
Pesto Rosso Togu Bio,Saclà,Fat and sauces,Dressings and sauces,354.0,3.1,36.0,4.1,1.0,0.0,2.1,d,3,b,4
FUSILLI MAÏS/RIZ BIO 500 GR,Saclà,Cereals and potatoes,Cereals,357.0,0.0,1.3,0.39,1.56,0.0,7.4,d,1,unknown,2
